id,user_created_time,user,user_description,user_followers_count,user_profile_location,tweet_geo_loc,tweets,likes,time
1071072455685328896,Fri Dec 07 16:02:27 +0000 2018,stxrflxwer,"For me who is left alone, no tomorrow





















Only by together, I can see my future",76,Magic Island,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 05:13:04+00:00
1215506215402258433,Fri Jan 10 05:30:52 +0000 2020,davetoh_2020,"Never mix religion with politics. Religion is a personal matter with God. No one else. 
#NotMyPM  #NotMyGovernment #KerajaanGagal #Lawan",107,,,@MacDrenco @TAzuanDA @bossku_team @Pesallobbo @stonedislifeddh @Bossbm17 @feraaldha @Zackrie1311 @robertporscheN… https://t.co/DAK2sa0IxQ,5,2022-05-27 04:58:35+00:00
764688250799730688,Sun Aug 14 05:01:01 +0000 2016,seratusringgit,,2,"Yukon, Canada",,@changlihkang sejak pemerintahan najib razak dijatuhkan everything went ape shit.,0,2022-05-27 04:40:57+00:00
1119106577858846720,Fri Apr 19 05:12:54 +0000 2019,Malaysian_25,"🇲🇾
𝚂𝚝𝚊𝚗𝚍𝚒𝚗𝚐 𝙸𝚗 𝚃𝚑𝚎 𝙴𝚢𝚎𝚜 𝙾𝚏 𝚃𝚑𝚎 𝚆𝚘𝚛𝚕𝚍 🇲🇾❤💛",120,Dalam Hati awak,,RT @samruzone: Najib Razak https://t.co/gBdBKyYxNC,0,2022-05-27 03:46:36+00:00
349322203,Fri Aug 05 22:44:37 +0000 2011,Berliannew,"Selamatkan Bangsa dan Negri ini. No Togog, No JIL",6445,,,"@mavin1818 Takut tidak berkuasa takut di Najib Razak kan
#JokowiPembunuhDemokrasi
#JokowiPembunuhDemokrasi",0,2022-05-27 03:24:04+00:00
636807910,Mon Jul 16 08:21:38 +0000 2012,ZariffZulkifli,,1120,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 03:21:42+00:00
1104561417976348672,Sun Mar 10 01:55:38 +0000 2019,ijjsya,Opacarophile,99,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 03:03:45+00:00
593813725,Tue May 29 15:45:42 +0000 2012,derp_gir,"Im a big, bigger, biggest dreamer and I love to sleep. Also a B.U.M (Blisfully-living, Unbothered Man)",304,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 02:52:24+00:00
17351932,Wed Nov 12 23:40:58 +0000 2008,GSahathevan,Google Ganesh Sahathevan,188,,,"Singapore's Najib  dilemma - Malaysia's Court Of Appeal found that Najib is a national embarrassment, and Singapore… https://t.co/6xqpSJiHMY",0,2022-05-27 02:30:08+00:00
988931593,Tue Dec 04 14:51:24 +0000 2012,Shaq_ljfkcug,,225,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 02:21:31+00:00
82401156,Wed Oct 14 16:43:33 +0000 2009,ikatanmuslimin,"Sebuah gerakan Islam yang sederhana, dinamik dan progresif 🇲🇾🇲🇾🇲🇾

| Daftar sebagai ahli: https://t.co/6ARlUpGbbz",5133,Bandar Baru Bangi,,Malangnya sejak dari zaman Tun Dr Mahathir diikuti pemerintahan Tun Abdullah Badawi dan Datuk Seri Najib Tun Razak… https://t.co/yabMz9q8WX,0,2022-05-27 02:02:52+00:00
566755034,Sun Apr 29 23:42:50 +0000 2012,_asyrough,He will give you something better than what was taken from you. 8:70 🍑NAM,180,"Division No.  8, Newfoundland ",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 01:49:07+00:00
1489789556211679232,Sat Feb 05 02:35:00 +0000 2022,CybillSaf,Don't think too much...be yourself,24,,,"“Kerajaan hari ini masih boleh bertahan” – Najib
Bekas Perdana Menteri, Dato Sri Najib Razak menyatakan kerajaan ha… https://t.co/5UURQdmaPW",0,2022-05-27 01:40:18+00:00
1003281113475772417,Sun Jun 03 14:23:52 +0000 2018,AimanAirin2,"🌳💐🌲💐🌲🌱🍁🏕🏞⛰️🍃🌈☁💧🌙⭐️🪐 #BalikPulau,KeyEll #bongsu #pencintaalamsekitardanhaiwan #liverpool",4373,sky,,"RT @RenoFirdaus7: “Kerajaan hari ini masih boleh bertahan” – Najib

Bekas Perdana Menteri, Dato Sri Najib Razak menyatakan kerajaan hari in…",0,2022-05-27 01:27:58+00:00
804592529324711937,Fri Dec 02 07:46:22 +0000 2016,newswav,Malaysia's #1 Content Aggregator,979,,,"To Shut Down The Rumour of Najib Having a New Wife, Najib, and Rosmah Want the MCMC to Investigate the Viral Photo.… https://t.co/caSaVPz3Lb",0,2022-05-27 01:15:12+00:00
4876057632,Mon Feb 08 00:32:03 +0000 2016,piesmile2007,,251,,,"RT @mynewshub: Oh. Sanggup dia tinggalkan abah.

Masuk PKR keluar PKR.
Masuk PPBM keluar PPBM.
Masuk PBM ... 

dan seterusnya dan seterusny…",0,2022-05-27 00:55:02+00:00
1352057175615574020,Thu Jan 21 00:55:49 +0000 2021,mulyati_yayan,Travel,144,,,"BELAJAR  CERDAS  
DENGAN  PM  MAHATHIR MUHAMMAD , MALAYSIA

BATALKAN  KERETA API CEPAT MALAYSIA

PERGANTIAN  REZIM… https://t.co/MauK3EbcZU",0,2022-05-27 00:19:40+00:00
240531570,Thu Jan 20 04:07:25 +0000 2011,luqmanosyioh,,274,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 00:07:20+00:00
1304297473,Tue Mar 26 14:29:25 +0000 2013,ZackZakydaniel,,0,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 00:05:20+00:00
1352057175615574020,Thu Jan 21 00:55:49 +0000 2021,mulyati_yayan,Travel,144,,,"BATAL KAN

KERETA API  CEPAT  CINA  JKT  BDG
BELAJAR  PINTAR
DENGAN  PM  MAHATHIR  MUHAMMAD
MALAYSIA  BATALKAN  KER… https://t.co/OMZ73AYWGi",0,2022-05-26 23:48:54+00:00
903211061909655553,Thu Aug 31 11:01:12 +0000 2017,belhizami,Food Enthusiast,349,"Damansara, Selangor",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 23:45:18+00:00
1143318109136101376,Tue Jun 25 00:40:53 +0000 2019,scrome78,Mati biar bermaruah hidup jangan dijajah ....,690,"Selangor, Malaysia",,"RT @RenoFirdaus7: “Kerajaan hari ini masih boleh bertahan” – Najib

Bekas Perdana Menteri, Dato Sri Najib Razak menyatakan kerajaan hari in…",0,2022-05-26 23:39:43+00:00
66929533,Wed Aug 19 06:23:37 +0000 2009,Abg_BroSam,,2441,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 23:34:38+00:00
1203564317288747012,Sun Dec 08 06:38:26 +0000 2019,riSau21872432,Haza min fadhli rabbi,13,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 23:16:14+00:00
748817173,Fri Aug 10 07:03:23 +0000 2012,NaimAzmii,I refuse to be anything less than successful,243,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 23:14:18+00:00
939512483512926208,Sat Dec 09 15:10:06 +0000 2017,Aramaitiiiieeee,AraMaitieee~,17,"Selangor, Malaysia",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 22:53:32+00:00
1523990627381555201,Tue May 10 11:37:44 +0000 2022,ImzanJota,Aquaman ⚓ | Saya suka komen dan saya juga suka awak :),2,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 22:44:14+00:00
345923382,Sun Jul 31 12:07:34 +0000 2011,mfahmifaris,Don’t take life too seriously. You’ll never get out of it alive.,334,"Damansara, Selangor",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 22:37:04+00:00
